window_index,source_midpoint_mbase,geco22_bpb,geco21_bpb,megabyte1_bpb,nc_prefix_bpb,nc_prefix_current_bpb
49,5.827341000,1.799177448,1.808239837,1.834574103,1.970074972,1.654845238
50,5.830413000,1.310445572,1.490645995,1.722196658,1.898922602,1.445276015
51,5.833485000,1.796145963,1.864689529,1.825643679,1.956085841,1.829827090
52,5.836557000,1.934967081,1.949696263,1.834296107,1.977760633,1.832103352
53,5.839629000,1.930189610,1.938273470,1.886457841,1.979911486,1.950520913
54,5.842701000,1.832199812,1.781663974,1.819066048,1.965953827,1.864942372
55,5.845773000,1.830939231,1.930058241,1.874735316,1.913928986,1.805075228
56,5.848845000,1.813451767,1.840627203,1.711297323,1.909680367,1.657098050
57,5.851917000,1.836211264,1.873199542,1.884719769,1.922191938,1.836203138
58,5.854989000,1.742424707,1.739923000,1.807668408,1.936885834,1.698205034
59,5.858061000,1.683592369,1.832655529,1.882727245,1.953409831,1.707095375
60,5.861133000,1.786382159,1.763993164,1.847239733,1.939038912,1.846314291
61,5.864205000,1.760932157,1.925250928,1.879707341,1.950072606,1.877838035
62,5.867277000,1.830340236,1.858045002,1.863616308,1.952737172,1.842645357
63,5.870349000,1.677965323,1.816035708,1.910262287,1.942066828,1.655249814
64,5.873421000,1.780001263,1.885795752,1.818911066,1.929015477,1.764663490
65,5.876493000,1.692631274,1.682482719,1.792193294,1.980495930,1.692524632
66,5.879565000,1.887582997,1.934651057,1.924258391,1.934399605,1.860602657
67,5.882637000,1.731216654,1.863070925,1.859337509,1.926369985,1.714930341
68,5.885709000,1.959594687,1.974376202,1.936184525,1.976588885,1.968100230
69,5.888781000,1.737228975,1.926362713,1.857888619,1.945273399,1.684367369
70,5.891853000,1.967547735,1.974356969,1.917006334,1.968410810,1.971710841
71,5.894925000,1.962149342,1.967387080,1.844275157,1.968998591,1.968822936
72,5.897997000,1.947333813,1.959517479,1.865035454,1.959516843,1.949287732
73,5.901069000,1.291918372,1.725100478,1.833832900,1.884408315,1.071465227
74,5.904141000,1.784439822,1.888382912,1.961989085,1.995339076,1.453223045
75,5.907213000,1.858206272,1.875523726,1.779100258,1.981366793,1.934433579
76,5.910285000,1.907048384,1.914125919,1.858861585,1.947237968,1.873428365
77,5.913357000,1.943272909,1.954057535,1.882448037,1.943325679,1.949127515
78,5.916429000,1.761232277,1.883869251,1.865178823,1.962352117,1.715819692
79,5.919501000,1.910599907,1.924061298,1.886507312,1.948445956,1.894601862
80,5.922573000,1.341933101,1.969249725,1.890066445,1.969785055,1.686702589
81,5.925645000,0.377516607,1.967919509,1.566764216,1.960798264,1.859339684
82,5.928717000,1.079094628,1.977159659,1.805450349,1.968391736,1.971501033
83,5.931789000,1.782017291,1.932865461,1.922542089,1.975649516,1.862578591
84,5.934861000,1.954123815,1.964069049,1.929525455,1.954054832,1.957612832
85,5.937933000,1.933793863,1.944848537,1.889492512,1.941718419,1.935214678
86,5.941005000,1.800929368,1.844981144,1.847125083,1.906060537,1.751381094
87,5.944077000,1.933704535,1.949723403,1.929544926,1.957180023,1.929039727
88,5.947149000,1.885211135,1.902192652,1.892302513,1.946098646,1.878682097
89,5.950221000,1.924697161,1.944710096,1.900724351,1.933661461,1.936212460
90,5.953293000,1.954033494,1.965599020,1.929546118,1.960357348,1.940648834
91,5.956365000,1.839910120,1.869456053,1.846667210,1.935973167,1.793410112
92,5.959437000,1.903152826,1.946262240,1.953506867,1.983598709,1.811556560
93,5.962509000,1.975217819,1.980070432,1.675605575,1.986142159,1.971303384
94,5.965581000,1.768354873,1.854374955,1.771964033,1.939773877,1.838410127
95,5.968653000,1.910485754,1.951998075,1.900493304,1.955572764,1.905080358
96,5.971725000,1.905128300,1.946391741,1.892915328,1.955135981,1.848295907
97,5.974797000,1.831963062,1.914626797,1.926401178,1.929485639,1.831190214
98,5.977869000,1.917050203,1.953373273,1.910426140,1.970436732,1.917378177
99,5.980941000,1.545877482,1.857300897,1.856248279,1.904326121,1.559507051
100,5.984013000,1.882272268,1.875450929,1.727522737,1.963058472,1.868515792
101,5.987085000,1.785782908,1.850448251,1.888425767,1.953467369,1.810377647
102,5.990157000,1.445723788,1.744518737,1.847665866,1.907291412,1.525122908
103,5.993229000,1.553616201,1.695967058,1.754865438,1.909865379,1.483451995
104,5.996301000,0.789121379,1.972868284,1.909492254,1.966828982,0.766440359
105,5.999373000,1.667652535,1.899813811,1.874364098,1.964136442,1.648440922
106,6.002445000,1.766872322,1.885342896,1.853102108,1.974912961,1.724552351
107,6.005517000,1.959236463,1.967011770,1.885798852,1.979415735,1.960716645
108,6.008589000,1.850105211,1.925551852,1.859329422,1.948734919,1.850043553
109,6.011661000,1.959736586,1.967092673,1.882014990,1.977071126,1.963403583
110,6.014733000,1.668914070,1.794522186,1.872954731,1.922239939,1.640993784
111,6.017805000,1.959488551,1.966985146,1.935012499,1.956133525,1.963857651
112,6.020877000,1.943770250,1.952833533,1.910762787,1.944678307,1.942732652
113,6.023949000,1.877939537,1.918305099,1.912031651,1.957039197,1.861368343
114,6.027021000,1.941236575,1.948405027,1.903058817,1.954675674,1.942362150
115,6.030093000,1.911829049,1.956172784,1.859514872,1.963641485,1.423853760
116,6.033165000,1.645772763,1.782149941,1.830472390,1.886057854,1.561182653
117,6.036237000,1.391039809,1.418606500,1.860406637,1.960683187,1.458475639
118,6.039309000,1.782047937,1.824556808,1.939816793,1.952555021,1.822884979
119,6.042381000,1.800465743,1.902637998,1.939117750,1.948266029,1.739723672
120,6.045453000,1.704224527,1.748873567,1.855888367,1.930239042,1.703411169
121,6.048525000,1.104039590,1.898438613,1.941059907,1.951171557,1.002276304
122,6.051597000,1.003834079,1.947587291,1.908351064,1.959880193,1.356258402
123,6.054669000,1.637580684,1.679082168,1.842070659,1.899653117,1.626544283
124,6.057741000,1.374329954,1.432879965,1.812821269,1.971463521,1.741184677
125,6.060813000,1.721760544,1.815679312,1.907567938,1.924050967,1.752746383
126,6.063885000,1.471895561,1.849426905,1.925595125,1.964297295,1.234731257
127,6.066957000,0.615508452,1.924669305,1.894791643,1.964326541,0.827658837
128,6.070029000,1.732825518,1.917553743,1.794642866,1.941561063,1.828576565
129,6.073101000,1.823908965,1.946746945,1.910283407,1.944416682,1.733171123
130,6.076173000,1.302199771,1.308653335,1.819604556,1.972250621,1.398447394
131,6.079245000,1.567692240,1.606193711,1.887575269,1.963344256,1.473675170
132,6.082317000,1.633916131,1.695406626,1.937551816,1.953018824,1.754060492
133,6.085389000,1.847369989,1.894797424,1.903175632,1.923721313,1.819715877
134,6.088461000,1.272215356,1.400073946,1.851788600,1.877307892,1.087753038
135,6.091533000,1.950698614,1.957754691,1.939869285,1.960437775,1.941212416
136,6.094605000,1.916648746,1.923458139,1.832501471,1.958577792,1.919123570
137,6.097677000,1.375740824,1.659948905,1.879611452,1.910386403,1.375625235
138,6.100749000,1.525849015,1.896262507,1.949457725,1.950730642,1.474229671
139,6.103821000,1.849749257,1.931186438,1.923904816,1.951481183,1.896080581
140,6.106893000,1.696100016,1.897176305,1.891579549,1.925008456,1.605795351
141,6.109965000,1.839347976,1.884036422,1.867898097,1.961415609,1.732617438
142,6.113037000,1.944461187,1.960981051,1.896354873,1.956839879,1.951008479
143,6.116109000,1.955210368,1.965183099,1.915839911,1.951219559,1.958719095
144,6.119181000,1.767820194,1.908166428,1.869572918,1.916653951,1.759679576
145,6.122253000,1.959556897,1.967044195,1.913759867,1.954012235,1.961095015
146,6.125325000,1.944645166,1.957358360,1.928139369,1.948964119,1.940726697
147,6.128397000,1.796057185,1.907654087,1.884377539,1.946873665,1.849270195
148,6.131469000,1.645997261,1.940427462,1.898000638,1.936490059,1.732325827
149,6.134541000,1.921127240,1.944781621,1.881102006,1.947060267,1.929103653
150,6.137613000,1.973643780,1.979974111,1.914055824,1.980625153,1.975320816
151,6.140685000,1.820881262,1.833121816,1.864021699,1.938512484,1.815008422
152,6.143757000,1.841838161,1.881382445,1.838504036,1.900907199,1.822991744
153,6.146829000,1.957739830,1.964875380,1.939680576,1.965763092,1.958777507
154,6.149901000,1.779287209,1.852141807,1.767094622,1.897234917,1.771227231
155,6.152973000,1.839593341,1.904167195,1.910413583,1.957531611,1.834416573
156,6.156045000,1.890307049,1.914938927,1.892185191,1.943364461,1.818779687
157,6.159117000,1.908703347,1.928763549,1.884435197,1.924535433,1.886461556
158,6.162189000,0.383647531,1.979392529,1.751392898,1.953486125,0.347457419
159,6.165261000,0.215049172,1.478686114,1.777378044,1.954697609,0.241924246
160,6.168333000,1.959621906,1.965940317,1.941074848,1.962748528,1.958300591
161,6.171405000,1.920986762,1.937983672,1.885617336,1.966873487,1.912070791
162,6.174477000,0.770841017,1.515283366,1.821502844,1.928709984,0.904636895
163,6.177549000,1.265608415,1.566341658,1.930974245,1.941100121,1.343684817
164,6.180621000,1.851971298,1.888622622,1.915012479,1.964619319,1.858070955
165,6.183693000,1.920674006,1.933467309,1.847760598,1.965133031,1.924812237
166,6.186765000,1.933866620,1.938586791,1.878812830,1.952591260,1.868267457
167,6.189837000,1.910020441,1.933352282,1.897903005,1.948680878,1.902072072
168,6.192909000,1.551878584,1.835340639,1.815203647,1.956194878,1.577651439
169,6.195981000,1.826639613,1.938004414,1.857625206,1.920790990,1.753035287
170,6.199053000,1.823744039,1.850067228,1.745314295,1.934131463,1.830774566
171,6.202125000,1.537828306,1.699535129,1.854574228,1.912851334,1.530092120
172,6.205197000,1.796027660,1.820811669,1.867432833,1.914904594,1.147843391
173,6.208269000,1.948834896,1.954476674,1.907087326,1.937303861,1.150225331
174,6.211341000,1.884095430,1.911892096,1.880005916,1.931694349,1.456226297
175,6.214413000,1.925622453,1.931814194,1.950670640,1.971408844,1.892842700
176,6.217485000,1.947583199,1.952119986,1.909804265,1.944908460,1.946418921
177,6.220557000,1.723011802,1.775515060,1.823823770,1.936175664,1.750787213
178,6.223629000,1.816344569,1.901896815,1.800530195,1.936221759,1.826788719
179,6.226701000,1.796203499,1.891015728,1.908928235,1.928214709,1.627858669
180,6.229773000,1.754617870,1.905241251,1.888961891,1.925449530,1.653997824
181,6.232845000,1.841935808,1.910299341,1.913451989,1.941691081,1.789424961
182,6.235917000,1.902293255,1.922963758,1.916821539,1.943609556,1.811348493
183,6.238989000,1.807683515,1.843708475,1.911167781,1.959012032,1.766384239
184,6.242061000,1.893600464,1.951554378,1.908580383,1.949436506,1.852998058
185,6.245133000,1.874903818,1.923050563,1.828414202,1.924459140,1.874463767
186,6.248205000,1.945795377,1.957251390,1.872523983,1.953636487,1.938013633
187,6.251277000,1.951876561,1.960154374,1.939684550,1.955183029,1.955264131
188,6.254349000,1.964632193,1.968632062,1.916390896,1.978140513,1.967496077
189,6.257421000,1.870076517,1.913034995,1.886982441,1.948678652,1.877386769
190,6.260493000,1.800412091,1.932925383,1.888139745,1.952597936,1.317345625
191,6.263565000,1.598762490,1.971029441,1.940433264,1.962384860,1.666216192
192,6.266637000,1.923245490,1.936296225,1.860629956,1.949308395,1.916217466
193,6.269709000,1.799008032,1.848349790,1.879499197,1.946859996,1.796013725
194,6.272781000,1.836291691,1.895872196,1.896294832,1.941130320,1.846249347
195,6.275853000,1.968473812,1.978551269,1.952284177,1.986547152,1.968807002
196,6.278925000,1.933679660,1.940611124,1.865563035,1.965500196,1.931207101
197,6.281997000,1.609991822,1.752272067,1.900678376,1.927551905,1.580549536
198,6.285069000,1.772266259,1.845249593,1.827962995,1.916626294,1.631420734
199,6.288141000,1.671361824,1.853031317,1.819330851,1.921685537,1.713556459
200,6.291213000,1.816823622,1.910756071,1.897221565,1.928862572,1.780411015
201,6.294285000,1.557204038,1.931125085,1.811964134,1.963734627,1.628008127
202,6.297357000,1.882218470,1.957116604,1.869021575,1.965079943,1.788365369
203,6.300429000,1.616732334,1.753800710,1.901976029,1.942906857,1.328765258
204,6.303501000,1.778905660,1.816198826,1.850739082,1.962573687,1.798490599
205,6.306573000,1.535323742,1.504870812,1.823568453,1.921976566,1.482369818
206,6.309645000,1.027855782,1.143370387,1.731899798,1.832477570,1.017653700
207,6.312717000,1.670554380,1.740764161,1.867916902,1.928368568,1.483809215
208,6.315789000,1.851697842,1.894827326,1.880509059,1.927025795,1.844722743
209,6.318861000,1.851590772,1.882762492,1.869199196,1.970622698,1.866146276
210,6.321933000,1.748425360,1.839494050,1.909737011,1.947679520,1.743234130
211,6.325005000,1.846193492,1.865488489,1.912017186,1.967742920,1.808806618
212,6.328077000,1.948988597,1.959913174,1.901558081,1.942982356,1.556578815
213,6.331149000,1.906005104,1.930901289,1.936024586,1.955792109,1.906630933
214,6.334221000,1.802388380,1.862133384,1.898801804,1.928189596,1.867268781
215,6.337293000,1.841220553,1.865036080,1.934964180,1.944918950,1.815010746
216,6.340365000,1.827203254,1.932788253,1.881342471,1.940094312,1.689598779
217,6.343437000,1.907072157,1.915692806,1.903511147,1.964007060,1.741404295
218,6.346509000,1.158539174,1.380735815,1.947163502,1.949589094,1.048119566
219,6.349581000,1.436527148,1.711519480,1.854611754,1.957674344,1.041380820
220,6.352653000,1.668290655,1.760305683,1.893111070,1.936434428,1.619557917
221,6.355725000,1.727910519,1.780572693,1.884947419,1.937794367,1.669014335
222,6.358797000,1.722332299,1.821741243,1.882317146,1.911722819,1.690815320
223,6.361869000,1.533015539,1.525181969,1.863126814,1.954717000,1.692899237
224,6.364941000,1.697335268,1.703999907,1.882466455,1.956200600,1.540166800
225,6.368013000,1.718863885,1.847512404,1.832695822,1.953042030,1.804308350
226,6.371085000,1.132386923,1.904783090,1.933098157,1.937579473,0.915749708
227,6.374157000,1.710871776,1.875210583,1.765390386,1.905634562,0.997255971
228,6.377229000,1.661192328,1.666170359,1.879608790,1.949180921,1.853205899
229,6.380301000,1.649608587,1.789549251,1.860519181,1.915079117,1.504520675
230,6.383373000,1.788533727,1.858921607,1.969698727,1.973617872,1.821800818
231,6.386445000,1.926105057,1.940049072,1.908766826,1.963522593,1.912606621
232,6.389517000,1.948532959,1.962876320,1.880739570,1.978752454,1.955271641
233,6.392589000,1.905840059,1.918405890,1.941885908,1.971644402,1.896665181
234,6.395661000,1.895042916,1.915571849,1.821341097,1.963331223,1.814678888
235,6.398733000,1.885240634,1.939915180,1.891971429,1.936833382,1.803528855
236,6.401805000,1.825227886,1.815649390,1.836614658,1.951715787,1.858594984
237,6.404877000,1.940968196,1.955668052,1.909987330,1.953169187,1.942480003
238,6.407949000,1.760404259,1.768710156,1.906270504,1.959321976,1.736745656
239,6.411021000,1.873960207,1.931529164,1.892678181,1.951864878,1.864011834
240,6.414093000,1.597424286,1.797580858,1.869781415,1.920468966,1.625287895
241,6.417165000,1.747059124,1.821671446,1.916751544,1.956425667,1.822169354
242,6.420237000,1.756549438,1.914519151,1.888488332,1.943833033,1.581741820
243,6.423309000,1.799773340,1.845987976,1.934275349,1.956422488,1.784888337
244,6.426381000,1.646929516,1.659223845,1.821674387,1.898587545,1.577275385
245,6.429453000,1.275062338,1.562624017,1.914612055,1.938940684,1.320008064
246,6.432525000,1.820726221,1.857173006,1.893418312,1.945954959,1.882004696
247,6.435597000,1.950307369,1.959728559,1.924132268,1.949211121,1.921761711
248,6.438669000,1.828970810,1.932385604,1.876615485,1.933238665,1.813369364
249,6.441741000,1.923662484,1.950554450,1.919329564,1.959609032,1.949467123
250,6.444813000,1.975516955,1.980590820,1.884342194,1.971717834,1.975966771
251,6.447885000,1.958075444,1.963711421,1.885134856,1.959027290,1.960376620
252,6.450957000,1.936808427,1.952586611,1.911240796,1.949823062,1.927603682
253,6.454029000,1.853060799,1.864803205,1.922246337,1.928510984,1.838216787
254,6.457101000,1.863269985,1.907695711,1.925127029,1.943063100,1.839245647
255,6.460173000,1.839783271,1.901669423,1.896286011,1.936547915,1.860950241
256,6.463245000,1.920381069,1.937347412,1.854518731,1.957464218,1.927819848
257,6.466317000,1.815884853,1.878385743,1.879562289,1.919633547,1.799487196
258,6.469389000,1.934581836,1.939938148,1.900349180,1.958987236,1.938184818
259,6.472461000,1.958732208,1.969215234,1.854990780,1.980191231,1.966118177
260,6.475533000,1.831917733,1.847814977,1.888155758,1.938908259,1.771230911
261,6.478605000,1.959906419,1.967700481,1.923313032,1.967801412,1.964599133
262,6.481677000,1.991356214,1.992003123,1.789343113,1.985259692,1.963121533
263,6.484749000,1.914941827,1.937495967,1.904823184,1.957309723,1.800991376
264,6.487821000,1.828649302,1.864227672,1.924704472,1.933304787,1.837227705
265,6.490893000,1.783200964,1.912289123,1.870992740,1.938252767,1.805717816
266,6.493965000,1.893447081,1.913422346,1.859386146,1.929445903,1.908397834
267,6.497037000,1.895648440,1.922407309,1.894583762,1.927624067,1.915071189
268,6.500109000,1.933682660,1.973752896,1.946372668,1.961479187,1.938124180
269,6.503181000,1.947368463,1.958811601,1.897673977,1.946291606,1.953495026
270,6.506253000,1.945755482,1.956085126,1.911133647,1.961369832,1.947785616
271,6.509325000,1.954411268,1.962603728,1.911421617,1.950294813,1.957610607
272,6.512397000,1.946985722,1.949752649,1.846083283,1.955872536,1.772294740
273,6.515469000,1.746421662,1.838698079,1.850905254,1.908102989,1.759805501
274,6.518541000,1.647571524,1.658835252,1.882890145,1.964497884,1.846008698
275,6.521613000,1.823257228,1.876200517,1.840346734,1.926156044,1.815177967
276,6.524685000,1.908417026,1.944336414,1.863946180,1.947303136,1.936579704
277,6.527757000,1.952592532,1.964265505,1.899160643,1.967745781,1.957690239
278,6.530829000,1.847302472,1.866282841,1.888845285,1.967401187,1.830306679
279,6.533901000,1.858317201,1.892685930,1.903013547,1.950246175,1.875641624
280,6.536973000,1.891273856,1.906080345,1.906120420,1.952710470,1.855477745
281,6.540045000,1.906078498,1.917284568,1.826204896,1.948097229,1.773838669
282,6.543117000,1.936584393,1.945247809,1.878258069,1.963221232,1.792415152
283,6.546189000,0.426840411,1.960695306,1.908565044,1.944536527,0.389730252
284,6.549261000,0.313414454,1.991733869,1.926415364,1.984423319,0.223356076
285,6.552333000,0.579729212,1.962570965,1.945552667,1.967892647,0.185528859
286,6.555405000,1.791290566,1.790077468,1.915547212,1.945365588,1.471573974
287,6.558477000,1.605024462,1.757511258,1.886208892,1.930753390,1.570858096
288,6.561549000,1.398280938,1.476367980,1.911969503,1.926250776,1.694503458
289,6.564621000,1.524673283,1.528406302,1.871666034,1.965802511,1.756587982
290,6.567693000,1.812130233,1.811698695,1.904264530,1.954645793,1.924264501
291,6.570765000,1.808766852,1.842640559,1.918789625,1.936488469,1.837006708
292,6.573837000,1.955326796,1.961352348,1.900469144,1.951270103,1.957539399
293,6.576909000,1.898638725,1.907367587,1.894719958,1.945012093,1.902123054
294,6.579981000,1.937213441,1.939790547,1.920616508,1.955793699,1.939041813
295,6.583053000,1.892067124,1.924727261,1.866287033,1.951754570,1.925640941
296,6.586125000,1.792348395,1.838150889,1.817325662,1.919939041,1.801654090
297,6.589197000,1.921512802,1.936905066,1.901817640,1.935136954,1.928195000
298,6.592269000,1.823217054,1.852687081,1.803087304,1.913180351,1.768184960
299,6.595341000,1.571589592,1.753772626,1.927043279,1.936717351,1.527056028
300,6.598413000,1.729980335,1.838136594,1.876012107,1.922450701,1.719920402
301,6.601485000,1.707842241,1.757474830,1.886016260,1.911324819,1.711462336
302,6.604557000,1.795426418,1.870301296,1.885333935,1.935318947,1.806069131
303,6.607629000,1.868345613,1.911796888,1.856593529,1.945330302,1.873598695
304,6.610701000,1.781112889,1.834328314,1.927433809,1.946063995,1.696286837
305,6.613773000,1.890979211,1.902356148,1.878098369,1.945846558,1.879759451
306,6.616845000,1.670261582,1.745118747,1.866826137,1.936814626,1.634331075
307,6.619917000,1.883109351,1.937140067,1.883870562,1.932163556,1.893572668
308,6.622989000,1.863161643,1.941710234,1.900392890,1.967761358,1.845861107
309,6.626061000,1.941136976,1.951867739,1.908418059,1.956016858,1.950337648
310,6.629133000,1.866016845,1.900209467,1.769841552,1.942374388,1.873777489
311,6.632205000,1.877845486,1.884234071,1.910931667,1.942194303,1.774113437
312,6.635277000,1.880443394,1.885008335,1.778363927,1.945359866,1.552187959
313,6.638349000,1.896886716,1.903542568,1.880162212,1.943408330,1.899733851
314,6.641421000,1.833997255,1.872429689,1.926077207,1.954961777,1.842615823
315,6.644493000,1.774503127,1.796078627,1.808278461,1.955082575,1.741068363
316,6.647565000,1.842476249,1.851813088,1.879158636,1.961541494,1.874466747
317,6.650637000,1.810607339,1.856207887,1.848247459,1.920506795,1.833771336
318,6.653709000,1.938424349,1.949101369,1.893440564,1.965289752,1.945450544
319,6.656781000,1.952318748,1.959579547,1.923848629,1.949733734,1.953993003
320,6.659853000,1.967510541,1.974426905,1.917718252,1.966717084,1.971846501
321,6.662925000,1.941670179,1.953584671,1.886792342,1.956957181,1.944455465
322,6.665997000,1.918127537,1.930153370,1.909465730,1.946663857,1.911453525
323,6.669069000,1.915116191,1.927548051,1.875210603,1.951262474,1.909087181
324,6.672141000,1.881895403,1.926100175,1.893705606,1.927687645,1.904459278
325,6.675213000,1.855153362,1.869007846,1.854390278,1.916866302,1.856417457
326,6.678285000,1.878298461,1.892571112,1.872166951,1.921198209,1.872681682
327,6.681357000,1.551646935,1.651793420,1.897867600,1.920757612,1.591117305
328,6.684429000,1.879746040,1.932319025,1.949015935,1.959821701,1.877914081
329,6.687501000,1.901983097,1.929013650,1.896267037,1.953706741,1.872382561
330,6.690573000,1.918810089,1.919867158,1.905299703,1.937633514,1.917013923
331,6.693645000,1.848598619,1.854499280,1.875213782,1.956560453,1.915278355
332,6.696717000,1.856293773,1.879902462,1.808876713,1.941576004,1.848077940
333,6.699789000,1.945564349,1.952063322,1.915264289,1.946286519,1.946284453
334,6.702861000,1.915672998,1.927719871,1.878370106,1.944721858,1.897045434
335,6.705933000,1.953196367,1.959449132,1.923987865,1.954051018,1.953598897
336,6.709005000,1.966560245,1.969304244,1.914741437,1.975523631,1.967265924
337,6.712077000,1.963735700,1.976483504,1.880720273,1.966454824,1.901515245
338,6.715149000,1.813137154,1.817985853,1.885454800,1.988233566,1.837658226
339,6.718221000,1.872940769,1.874527733,1.880190313,1.953692754,1.748549541
340,6.721293000,1.915890177,1.922245105,1.894156992,1.960105419,1.856824497
341,6.724365000,1.722704142,1.857810100,1.898634831,1.939807892,1.678372300
342,6.727437000,1.682386885,1.762405515,1.867541393,1.944915454,1.765950059
343,6.730509000,1.451298907,1.838182231,1.870728334,1.928377787,1.416129721
344,6.733581000,1.886965071,1.875254303,1.895400643,1.976822535,1.913733780
345,6.736653000,1.983764172,1.988900661,1.963001569,1.985278765,1.329553703
346,6.739725000,1.983925502,1.986691634,1.950717926,1.980504990,1.336462786
347,6.742797000,1.969136874,1.987492085,1.930063059,1.981779734,1.319215576
348,6.745869000,1.159157805,1.886029204,1.942014138,1.959107717,0.588946104
349,6.748941000,1.013932129,1.971830428,1.783628662,1.975994110,0.688502378
350,6.752013000,0.447863276,1.960374117,1.786682718,1.994773865,0.416073526
351,6.755085000,0.508588478,1.996439139,1.771723960,1.984224002,0.490150253
352,6.758157000,1.383679261,1.375312140,1.972995043,1.986700376,1.314894867
353,6.761229000,1.981613398,1.981946945,1.957395077,1.981686592,1.703926235
354,6.764301000,1.695600105,1.739212592,1.880059361,1.942332586,1.695132419
355,6.767373000,1.936204831,1.961506367,1.759637085,1.971117020,1.953937372
356,6.770445000,1.928725998,1.938860079,1.885997295,1.960481962,1.926931083
357,6.773517000,1.924768289,1.931187312,1.919633641,1.970816294,1.416510393
358,6.776589000,1.922601283,1.921584845,1.936640580,1.961717923,1.856932282
359,6.779661000,1.531186243,1.694833875,1.892866313,1.938414256,1.509399951
360,6.782733000,1.088324825,1.084662040,1.827617759,1.967240016,1.686441203
361,6.785805000,1.882856011,1.883668224,1.861836443,1.974286079,1.650473913
362,6.788877000,1.790036917,1.780742645,1.833754663,1.989432017,1.705179294
363,6.791949000,1.481665889,1.424164812,1.788970665,1.966319720,1.860264381
364,6.795021000,1.946822206,1.952985088,1.929184437,1.958106677,1.958883365
